case_id,split,difficulty,source_type,cohort,document_extraction_score,classification_score,evidence_retrieval_score,explanation_generation_score,document_extraction_probability,classification_probability,evidence_retrieval_probability,explanation_generation_probability,end_to_end_correct
33,development,Simple,scan,pond_a,0.915725,0.89403,0.894316,0.776465,0.857143,0.809353,0.982759,0.727273,1
34,development,Simple,scan,pond_b,0.901173,0.956736,0.8903,0.874459,0.843284,0.88172,0.982759,0.897233,1
35,evaluation,Moderate,native_pdf,pond_b,0.814508,0.894588,0.561854,0.897262,0.738397,0.809353,0.681818,0.937931,0
36,development,Simple,scan,pond_a,0.896693,0.953626,0.849222,0.787874,0.843284,0.88172,0.951456,0.772487,0
37,development,Moderate,native_pdf,pond_b,0.695494,0.809525,0.453625,0.811114,0.552632,0.727723,0.581673,0.772487,1
38,development,Simple,native_pdf,pond_a,0.968006,0.938944,0.825031,0.751489,0.966942,0.867188,0.891117,0.687861,1
39,evaluation,Complex,native_pdf,pond_b,0.861601,0.798606,0.616732,0.758002,0.768421,0.727723,0.753623,0.687861,0
40,development,Moderate,native_pdf,pond_a,0.85956,0.82998,0.544749,0.768198,0.768421,0.727723,0.681818,0.727273,1
41,development,Moderate,scan,pond_b,0.783413,0.92644,0.698804,0.870973,0.672131,0.865854,0.8725,0.897233,0
42,evaluation,Complex,scan,pond_a,0.525896,0.510268,0.43922,0.736027,0.338028,0.485714,0.581673,0.591837,0
43,development,Moderate,native_pdf,pond_b,0.784074,0.291392,0.369716,0.751078,0.672131,0.415385,0.435484,0.687861,0
44,evaluation,Simple,scan,pond_a,0.824092,0.919337,0.87847,0.804554,0.738397,0.862069,0.979798,0.772487,0
45,evaluation,Complex,scan,pond_a,0.5721,0.66693,0.357148,0.766182,0.338028,0.54386,0.435484,0.727273,0
46,evaluation,Complex,native_pdf,pond_b,0.706741,0.152693,0.158802,0.760384,0.552632,0.16,0.144165,0.687861,0
47,development,Moderate,native_pdf,pond_a,0.916784,0.895784,0.592076,0.784326,0.857143,0.809353,0.753623,0.772487,0
48,development,Complex,scan,pond_b,0.727321,0.858186,0.66095,0.901384,0.552632,0.809353,0.778571,0.937931,0
49,development,Simple,native_pdf,pond_b,0.890872,0.964087,0.837285,0.81264,0.793103,0.88172,0.891117,0.772487,0
50,evaluation,Moderate,scan,pond_b,0.80712,0.763621,0.743501,0.851331,0.672727,0.727723,0.8725,0.868132,0
51,development,Complex,native_pdf,pond_b,0.778989,0.293121,0.50258,0.858839,0.6,0.415385,0.581673,0.894737,0
52,development,Moderate,native_pdf,pond_a,0.760531,0.798897,0.556269,0.852133,0.591398,0.727723,0.681818,0.894737,1
53,development,Simple,native_pdf,pond_b,0.93189,0.96254,0.905615,0.754589,0.887701,0.88172,0.982759,0.687861,1
54,development,Simple,scan,pond_b,0.892025,0.81662,0.794042,0.836559,0.793103,0.727723,0.891117,0.80137,0
55,development,Simple,native_pdf,pond_b,0.942257,0.960716,0.841503,0.877781,0.934783,0.88172,0.9375,0.897233,1
56,development,Simple,scan,pond_b,0.777491,0.973466,0.767423,0.858527,0.6,0.916667,0.8725,0.894737,1
57,evaluation,Complex,scan,pond_a,0.548033,0.301347,0.200164,0.720862,0.338028,0.415385,0.153846,0.591837,0
58,development,Moderate,native_pdf,pond_a,0.888657,0.325682,0.344313,0.79659,0.789474,0.415385,0.375,0.772487,0
59,evaluation,Moderate,scan,pond_b,0.801237,0.894203,0.620992,0.795442,0.672727,0.809353,0.753623,0.772487,1
60,development,Moderate,native_pdf,pond_a,0.977069,0.986545,0.67626,0.655355,0.977778,0.957792,0.863158,0.527397,1
61,evaluation,Simple,native_pdf,pond_b,0.811531,0.686772,0.489364,0.91416,0.738397,0.567568,0.581673,0.987179,0
62,evaluation,Simple,native_pdf,pond_a,0.967096,0.976594,0.756311,0.763849,0.966942,0.923077,0.8725,0.687861,1
63,evaluation,Simple,scan,pond_a,0.872342,0.967865,0.821129,0.668802,0.768421,0.88172,0.891117,0.527397,1
64,development,Simple,scan,pond_a,0.64527,0.758532,0.444612,0.791972,0.421053,0.727723,0.581673,0.772487,0
65,development,Complex,scan,pond_b,0.744373,0.215782,0.386098,0.779343,0.591398,0.415385,0.435484,0.727273,0
66,development,Moderate,scan,pond_b,0.912899,0.977124,0.855868,0.849031,0.857143,0.923077,0.951456,0.868132,0
67,development,Simple,native_pdf,pond_b,0.787302,0.67696,0.385521,0.881483,0.672131,0.54386,0.435484,0.902174,0
68,development,Simple,scan,pond_b,0.847496,0.969845,0.785878,0.845773,0.744681,0.88172,0.891117,0.868132,1
69,evaluation,Moderate,native_pdf,pond_b,0.876678,0.944868,0.594172,0.916298,0.777778,0.867188,0.753623,0.987179,0
70,development,Simple,scan,pond_a,0.889634,0.992306,0.737072,0.769651,0.789474,0.989848,0.8725,0.727273,1
71,evaluation,Moderate,native_pdf,pond_a,0.720069,0.420356,0.197385,0.69094,0.552632,0.419355,0.153846,0.527397,0
72,development,Complex,native_pdf,pond_b,0.665169,0.361607,0.422107,0.719261,0.5,0.415385,0.527778,0.591837,1
73,evaluation,Moderate,native_pdf,pond_a,0.883595,0.834769,0.747146,0.82311,0.789474,0.77027,0.8725,0.791444,0
74,evaluation,Simple,native_pdf,pond_a,0.869632,0.941193,0.621676,0.791424,0.768421,0.867188,0.753623,0.772487,1
75,development,Moderate,native_pdf,pond_a,0.937694,0.904846,0.718681,0.80883,0.934783,0.809353,0.8725,0.772487,1
76,evaluation,Simple,native_pdf,pond_b,0.854282,0.957462,0.88815,0.89644,0.768421,0.88172,0.982759,0.937931,1
77,evaluation,Moderate,native_pdf,pond_b,0.911494,0.913552,0.318307,0.77653,0.857143,0.809353,0.294118,0.727273,0
78,evaluation,Moderate,scan,pond_a,0.669505,0.561563,0.427707,0.709693,0.552632,0.485714,0.527778,0.590909,0
79,development,Simple,native_pdf,pond_b,0.972453,0.992082,0.769438,0.835622,0.977778,0.989848,0.8725,0.80137,1
80,development,Moderate,scan,pond_b,0.695065,0.828401,0.619223,0.795736,0.552632,0.727723,0.753623,0.772487,0
81,development,Moderate,native_pdf,pond_b,0.807039,0.908711,0.301074,0.829639,0.672727,0.809353,0.25,0.791444,1
82,evaluation,Moderate,native_pdf,pond_b,0.874641,0.949698,0.565231,0.854085,0.777778,0.868421,0.681818,0.894737,0
83,development,Moderate,native_pdf,pond_b,0.935989,0.983054,0.7161,0.881889,0.887701,0.957792,0.8725,0.902174,1
84,development,Simple,scan,pond_b,0.820981,0.83985,0.822175,0.753272,0.738397,0.77027,0.891117,0.687861,0
85,evaluation,Simple,scan,pond_a,0.818575,0.982332,0.875825,0.824482,0.738397,0.957792,0.979798,0.791444,0
86,evaluation,Simple,scan,pond_b,0.851086,0.979006,0.827883,0.901165,0.744681,0.933333,0.891117,0.937931,1
87,development,Simple,native_pdf,pond_b,0.933313,0.987312,0.890634,0.827122,0.887701,0.957792,0.982759,0.791444,1
88,development,Simple,scan,pond_a,0.71119,0.699899,0.659617,0.764364,0.552632,0.567568,0.778571,0.687861,0
89,development,Moderate,native_pdf,pond_a,0.927431,0.977963,0.807695,0.815759,0.887701,0.933333,0.891117,0.772487,0
90,development,Simple,scan,pond_b,0.818667,0.986806,0.850412,0.917746,0.738397,0.957792,0.951456,0.987179,1
91,development,Simple,native_pdf,pond_a,0.902463,0.97335,0.723738,0.890312,0.843284,0.916667,0.8725,0.911111,1
92,evaluation,Complex,scan,pond_b,0.833315,0.503642,0.447599,0.680976,0.738397,0.485714,0.581673,0.527397,0
93,development,Moderate,scan,pond_b,0.749739,0.954726,0.791255,0.812432,0.591398,0.88172,0.891117,0.772487,0
94,development,Simple,scan,pond_a,0.681501,0.367566,0.67431,0.813977,0.552632,0.415385,0.863158,0.772487,0
95,development,Complex,native_pdf,pond_a,0.809852,0.923771,0.56959,0.598605,0.738397,0.862069,0.681818,0.307692,0
96,evaluation,Complex,native_pdf,pond_b,0.52428,0.361355,0.169638,0.839316,0.338028,0.415385,0.153846,0.80137,0
97,development,Simple,native_pdf,pond_a,0.934379,0.997684,0.797515,0.829834,0.887701,1.0,0.891117,0.791444,0
98,development,Simple,native_pdf,pond_b,0.95032,0.990911,0.876592,0.912368,0.945946,0.957792,0.979798,0.987179,1
99,development,Simple,scan,pond_a,0.798062,0.98642,0.910582,0.817779,0.672727,0.957792,0.982759,0.791444,1
100,development,Simple,native_pdf,pond_b,0.620255,0.821033,0.630122,0.706081,0.421053,0.727723,0.778571,0.571429,0
101,evaluation,Simple,native_pdf,pond_a,0.9703,0.998876,0.881688,0.801217,0.972252,1.0,0.979798,0.772487,1
102,evaluation,Complex,native_pdf,pond_b,0.716502,0.430491,0.44991,0.784916,0.552632,0.419355,0.581673,0.772487,0
103,development,Simple,native_pdf,pond_a,0.701966,0.879788,0.451191,0.768534,0.552632,0.809353,0.581673,0.727273,0
104,development,Simple,native_pdf,pond_a,0.90364,0.925668,0.894379,0.92647,0.843284,0.865854,0.982759,1.0,1
105,evaluation,Simple,native_pdf,pond_a,0.828483,0.965215,0.586202,0.735714,0.738397,0.88172,0.753623,0.591837,1
106,development,Moderate,scan,pond_b,0.768851,0.576555,0.437294,0.802526,0.591398,0.485714,0.581673,0.772487,0
107,development,Simple,scan,pond_a,0.938862,0.99906,0.944107,0.822132,0.934783,1.0,1.0,0.791444,1
108,evaluation,Simple,scan,pond_b,0.794659,0.819945,0.699346,0.881808,0.672727,0.727723,0.8725,0.902174,1
109,development,Moderate,native_pdf,pond_a,0.87067,0.888556,0.801661,0.794374,0.768421,0.809353,0.891117,0.772487,1
110,development,Simple,scan,pond_b,0.801623,0.990049,0.659705,0.868901,0.672727,0.957792,0.778571,0.897233,0
111,evaluation,Moderate,scan,pond_b,0.893911,0.993814,0.773117,0.857616,0.83871,0.989848,0.8725,0.894737,1
112,evaluation,Complex,scan,pond_b,0.478984,0.538782,0.395143,0.744305,0.235294,0.485714,0.435484,0.687861,0
113,development,Simple,scan,pond_b,0.955349,0.980228,0.875955,0.846198,0.966942,0.933333,0.979798,0.868132,1
114,evaluation,Moderate,scan,pond_a,0.822185,0.910804,0.665092,0.725593,0.738397,0.809353,0.863158,0.591837,0
115,development,Complex,scan,pond_b,0.338511,0.423524,0.217782,0.773969,0.181818,0.419355,0.192308,0.727273,0
116,evaluation,Moderate,native_pdf,pond_b,0.775595,0.963198,0.404041,0.707715,0.592147,0.88172,0.435484,0.571429,0
117,evaluation,Complex,scan,pond_b,0.600418,0.465665,0.379508,0.820856,0.421053,0.485714,0.435484,0.791444,0
118,development,Complex,scan,pond_b,0.755778,0.53663,0.34885,0.757193,0.591398,0.485714,0.435484,0.687861,0
119,development,Moderate,scan,pond_a,0.775077,0.897202,0.734043,0.744963,0.591398,0.809353,0.8725,0.687861,0
120,evaluation,Moderate,native_pdf,pond_a,0.54779,0.088124,0.247535,0.711334,0.338028,0.0,0.192308,0.590909,0
121,development,Complex,native_pdf,pond_b,0.665483,0.777415,0.295547,0.818472,0.5,0.727723,0.192308,0.791444,0
122,evaluation,Simple,native_pdf,pond_b,0.939046,0.986355,0.647912,0.879633,0.934783,0.957792,0.778571,0.897233,0
123,evaluation,Moderate,scan,pond_a,0.832426,0.953801,0.455146,0.755415,0.738397,0.88172,0.581673,0.687861,0
124,development,Simple,native_pdf,pond_b,0.940884,0.938181,0.887165,0.878411,0.934783,0.867188,0.982759,0.897233,1
125,evaluation,Moderate,scan,pond_b,0.673474,0.559071,0.25251,0.832222,0.552632,0.485714,0.192308,0.791444,0
126,development,Simple,native_pdf,pond_a,0.897508,0.973638,0.739825,0.867072,0.843284,0.923077,0.8725,0.897233,0
127,development,Simple,scan,pond_a,0.912589,0.940805,0.881238,0.750889,0.857143,0.867188,0.979798,0.687861,1
128,development,Simple,native_pdf,pond_a,0.959118,0.989007,0.911625,0.814627,0.966942,0.957792,1.0,0.772487,1
129,development,Moderate,native_pdf,pond_b,0.866597,0.931026,0.897038,0.77229,0.768421,0.865854,0.982759,0.727273,0
130,development,Simple,native_pdf,pond_a,0.91609,0.828368,0.588328,0.82995,0.857143,0.727723,0.753623,0.791444,0
131,evaluation,Simple,native_pdf,pond_b,0.950566,0.985022,0.757159,0.94895,0.945946,0.957792,0.8725,1.0,1
132,development,Simple,native_pdf,pond_a,0.910458,0.99135,0.796217,0.700305,0.857143,0.957792,0.891117,0.527397,1
133,development,Moderate,native_pdf,pond_b,0.907809,0.982461,0.773103,0.899294,0.843284,0.957792,0.8725,0.937931,1
134,development,Simple,native_pdf,pond_b,0.904839,0.943003,0.42508,0.898869,0.843284,0.867188,0.527778,0.937931,1
135,evaluation,Simple,scan,pond_a,0.782662,0.993867,0.649566,0.813449,0.672131,0.989848,0.778571,0.772487,0
136,development,Complex,native_pdf,pond_a,0.884165,0.931435,0.336359,0.538994,0.789474,0.865854,0.363636,0.133333,0
137,evaluation,Complex,scan,pond_b,0.665732,0.681319,0.390442,0.831872,0.5,0.567568,0.435484,0.791444,0
138,development,Simple,scan,pond_b,0.781611,0.98383,0.765709,0.909971,0.672131,0.957792,0.8725,0.987179,1
139,development,Simple,native_pdf,pond_b,0.94644,0.997575,0.636645,0.868654,0.945946,1.0,0.778571,0.897233,1
140,evaluation,Complex,scan,pond_b,0.681774,0.870917,0.470567,0.858071,0.552632,0.809353,0.581673,0.894737,1
141,evaluation,Complex,native_pdf,pond_b,0.584977,0.413566,0.409526,0.703968,0.421053,0.416795,0.435484,0.571429,0
142,development,Simple,native_pdf,pond_a,0.873118,0.646843,0.782845,0.840707,0.768421,0.54386,0.891117,0.80137,0
143,development,Simple,native_pdf,pond_b,0.907387,0.505353,0.223376,0.921875,0.843284,0.485714,0.192308,1.0,0
144,evaluation,Moderate,native_pdf,pond_b,0.929513,0.570581,0.547254,0.787376,0.887701,0.485714,0.681818,0.772487,0
145,development,Moderate,native_pdf,pond_b,0.952548,0.980414,0.810479,0.859247,0.945946,0.933333,0.891117,0.894737,0
146,evaluation,Moderate,scan,pond_b,0.720868,0.982746,0.685923,0.89157,0.552632,0.957792,0.872439,0.911111,1
147,development,Simple,scan,pond_a,0.707545,0.779953,0.657293,0.7357,0.552632,0.727723,0.778571,0.591837,0
148,development,Simple,native_pdf,pond_a,0.977651,0.987725,0.761005,0.768013,0.977778,0.957792,0.8725,0.727273,1
149,development,Moderate,scan,pond_b,0.745554,0.976361,0.860228,0.75038,0.591398,0.923077,0.951456,0.687861,1
150,evaluation,Complex,scan,pond_b,0.497325,0.195867,0.298231,0.67741,0.333333,0.415385,0.224389,0.527397,0
151,development,Moderate,scan,pond_b,0.814128,0.295491,0.764388,0.821435,0.738397,0.415385,0.8725,0.791444,0
152,evaluation,Complex,scan,pond_a,0.71164,0.445905,0.601885,0.728941,0.552632,0.419355,0.753623,0.591837,0
153,evaluation,Moderate,native_pdf,pond_b,0.814232,0.733561,0.441489,0.774967,0.738397,0.666667,0.581673,0.727273,0
154,evaluation,Complex,native_pdf,pond_a,0.641398,0.777479,0.165733,0.712428,0.421053,0.727723,0.153846,0.590909,0
155,evaluation,Moderate,scan,pond_a,0.758995,0.973526,0.697546,0.756396,0.591398,0.917716,0.8725,0.687861,1
156,evaluation,Simple,scan,pond_b,0.881346,0.439082,0.56498,0.868283,0.789474,0.419355,0.681818,0.897233,0
157,development,Simple,native_pdf,pond_b,0.959634,0.99476,0.711516,0.89192,0.966942,0.989848,0.8725,0.937931,0
158,development,Simple,native_pdf,pond_a,0.910438,0.985943,0.798757,0.857194,0.857143,0.957792,0.891117,0.894737,1
159,development,Simple,native_pdf,pond_a,0.909296,0.905962,0.506412,0.810257,0.857143,0.809353,0.581673,0.772487,0
160,development,Simple,scan,pond_a,0.935244,0.991153,0.888623,0.8368,0.887701,0.957792,0.982759,0.80137,1
161,development,Simple,native_pdf,pond_b,0.911842,0.990684,0.631462,0.867347,0.857143,0.957792,0.778571,0.897233,0
162,evaluation,Moderate,scan,pond_b,0.819794,0.906725,0.676856,0.813569,0.738397,0.809353,0.863158,0.772487,1
163,evaluation,Simple,native_pdf,pond_b,0.881479,0.549016,0.776367,0.899259,0.789474,0.485714,0.891117,0.937931,0
164,development,Simple,scan,pond_a,0.816839,0.989576,0.797561,0.842712,0.738397,0.957792,0.891117,0.80137,1
165,evaluation,Moderate,scan,pond_b,0.780239,0.412452,0.667723,0.695514,0.672131,0.415385,0.863158,0.527397,0
166,development,Complex,scan,pond_a,0.517772,0.121003,0.240338,0.713276,0.338028,0.0,0.192308,0.590909,0
167,development,Simple,native_pdf,pond_a,0.861181,0.769401,0.790277,0.851187,0.768421,0.727723,0.891117,0.868132,1
168,evaluation,Moderate,native_pdf,pond_b,0.871127,0.756813,0.593857,0.828642,0.768421,0.727723,0.753623,0.791444,1
169,development,Moderate,native_pdf,pond_a,0.889807,0.942866,0.881864,0.669629,0.789474,0.867188,0.979798,0.527397,1
170,evaluation,Complex,native_pdf,pond_b,0.585024,0.388566,0.441914,0.738159,0.421053,0.415385,0.581673,0.591837,0
171,development,Moderate,native_pdf,pond_b,0.91335,0.936591,0.835879,0.669285,0.857143,0.867188,0.891117,0.527397,1
172,evaluation,Simple,native_pdf,pond_b,0.685584,0.111648,0.63643,0.88948,0.552632,0.0,0.778571,0.911111,0
173,evaluation,Moderate,scan,pond_b,0.537397,0.836058,0.606358,0.839081,0.338028,0.77027,0.753623,0.80137,0
174,development,Simple,scan,pond_b,0.825708,0.859591,0.852362,0.91148,0.738397,0.809353,0.951456,0.987179,0
175,development,Simple,native_pdf,pond_b,0.941609,0.990662,0.892165,0.8981,0.934783,0.957792,0.982759,0.937931,1
176,development,Simple,native_pdf,pond_b,0.8221,0.593105,0.838695,0.901307,0.738397,0.485714,0.9375,0.937931,0
177,evaluation,Moderate,native_pdf,pond_a,0.771501,0.749921,0.516235,0.820767,0.591398,0.727723,0.581673,0.791444,0
178,evaluation,Moderate,native_pdf,pond_a,0.958564,0.991958,0.883034,0.753392,0.966942,0.989848,0.979798,0.687861,1
179,evaluation,Moderate,scan,pond_a,0.814346,0.890142,0.841287,0.764164,0.738397,0.809353,0.9375,0.687861,0
180,development,Simple,scan,pond_b,0.871432,0.963207,0.807465,0.819849,0.768421,0.88172,0.891117,0.791444,0
181,evaluation,Moderate,scan,pond_a,0.730905,0.979017,0.730795,0.832286,0.552632,0.933333,0.8725,0.791444,0
182,evaluation,Moderate,scan,pond_b,0.546187,0.456295,0.501933,0.817754,0.338028,0.485714,0.581673,0.791444,0
183,evaluation,Moderate,scan,pond_a,0.483945,0.294105,0.268313,0.715032,0.235294,0.415385,0.192308,0.591837,0
184,development,Simple,scan,pond_b,0.937051,0.974264,0.860809,0.81964,0.934783,0.923077,0.951456,0.791444,1
185,evaluation,Complex,native_pdf,pond_a,0.723803,0.165649,0.145885,0.635823,0.552632,0.16,0.12,0.388889,0
186,development,Complex,scan,pond_a,0.723336,0.963704,0.690154,0.687674,0.552632,0.88172,0.8725,0.527397,1
187,development,Simple,native_pdf,pond_b,0.829854,0.97815,0.724426,0.876741,0.738397,0.933333,0.8725,0.897233,0
188,development,Simple,scan,pond_b,0.944331,0.998896,0.898779,0.912607,0.945946,1.0,0.982759,0.987179,1
189,development,Moderate,native_pdf,pond_a,0.8514,0.802638,0.46626,0.744225,0.744681,0.727723,0.581673,0.687861,0
190,development,Simple,scan,pond_b,0.769056,0.9013,0.779781,0.775113,0.591398,0.809353,0.891117,0.727273,1
191,development,Simple,native_pdf,pond_b,0.920836,0.981466,0.842882,0.87188,0.887701,0.957792,0.9375,0.897233,1
192,development,Simple,scan,pond_a,0.73357,0.709366,0.690335,0.69599,0.552632,0.567568,0.8725,0.527397,0
193,development,Simple,native_pdf,pond_b,0.952083,0.99582,0.823344,0.920495,0.945946,0.989848,0.891117,0.987179,1
194,development,Moderate,scan,pond_a,0.649473,0.752874,0.675653,0.603303,0.421053,0.727723,0.863158,0.307692,0
195,development,Simple,native_pdf,pond_b,0.895757,0.98115,0.892154,0.870955,0.843284,0.933333,0.982759,0.897233,0
196,evaluation,Simple,scan,pond_b,0.835316,0.846838,0.890162,0.88058,0.738397,0.77027,0.982759,0.902174,1
197,development,Simple,scan,pond_a,0.911249,0.985302,0.834997,0.770457,0.857143,0.957792,0.891117,0.727273,1
198,development,Moderate,scan,pond_b,0.797924,0.728442,0.356054,0.705974,0.672727,0.666667,0.435484,0.571429,0
199,evaluation,Complex,scan,pond_a,0.521729,0.412853,0.161872,0.638163,0.338028,0.415849,0.153846,0.388889,0
200,development,Simple,native_pdf,pond_b,0.914799,0.54324,0.608087,0.798783,0.857143,0.485714,0.753623,0.772487,0
201,evaluation,Complex,scan,pond_a,0.677162,0.532998,0.657259,0.820989,0.552632,0.485714,0.778571,0.791444,0
202,evaluation,Simple,native_pdf,pond_b,0.550467,0.875891,0.252818,0.849271,0.338028,0.809353,0.192308,0.868132,0
203,evaluation,Complex,scan,pond_b,0.709795,0.966749,0.564029,0.568525,0.552632,0.88172,0.681818,0.133333,0
204,development,Complex,scan,pond_a,0.661364,0.584408,0.400236,0.556146,0.5,0.485714,0.435484,0.133333,0
205,development,Simple,native_pdf,pond_a,0.895775,0.938992,0.674237,0.857481,0.843284,0.867188,0.863158,0.894737,1
206,development,Simple,native_pdf,pond_a,0.950857,0.996023,0.905557,0.795648,0.945946,0.989848,0.982759,0.772487,1
207,evaluation,Moderate,scan,pond_a,0.697895,0.891795,0.849322,0.716301,0.552632,0.809353,0.951456,0.591837,0
208,evaluation,Moderate,native_pdf,pond_a,0.929824,0.943769,0.654594,0.799641,0.887701,0.867188,0.778571,0.772487,0
209,evaluation,Moderate,scan,pond_a,0.81784,0.980281,0.683816,0.815096,0.738397,0.933333,0.863158,0.772487,1
210,development,Simple,native_pdf,pond_b,0.916694,0.976608,0.657181,0.755306,0.857143,0.923077,0.778571,0.687861,0
211,development,Simple,scan,pond_b,0.904518,0.980066,0.880078,0.907866,0.843284,0.933333,0.979798,0.987179,1
212,development,Moderate,scan,pond_a,0.83022,0.533073,0.609474,0.793472,0.738397,0.485714,0.753623,0.772487,0
213,development,Simple,native_pdf,pond_b,0.857053,0.884557,0.660418,0.842436,0.768421,0.809353,0.778571,0.80137,0
214,evaluation,Complex,native_pdf,pond_b,0.827027,0.73163,0.382345,0.736636,0.738397,0.666667,0.435484,0.591837,0
215,evaluation,Moderate,scan,pond_a,0.745149,0.340896,0.484462,0.634235,0.591398,0.415385,0.581673,0.388889,0
216,development,Simple,scan,pond_a,0.754126,0.643343,0.585785,0.642552,0.591398,0.54386,0.753623,0.388889,0
217,evaluation,Moderate,native_pdf,pond_a,0.788436,0.678978,0.611522,0.802358,0.672131,0.567568,0.753623,0.772487,0
218,evaluation,Simple,native_pdf,pond_b,0.899573,0.946694,0.600668,0.878437,0.843284,0.867188,0.753623,0.897233,0
219,development,Moderate,scan,pond_a,0.726753,0.85815,0.724492,0.79895,0.552632,0.809353,0.8725,0.772487,1
220,evaluation,Simple,scan,pond_b,0.968906,0.998722,0.934681,0.925998,0.966942,1.0,1.0,1.0,1
221,evaluation,Moderate,scan,pond_a,0.715002,0.471216,0.741638,0.615557,0.552632,0.485714,0.8725,0.333333,0
222,development,Simple,scan,pond_b,0.790161,0.841276,0.82509,0.883594,0.672131,0.77027,0.891117,0.902174,0
223,development,Simple,native_pdf,pond_b,0.972487,0.984466,0.850141,0.87269,0.977778,0.957792,0.951456,0.897233,1
224,evaluation,Complex,scan,pond_a,0.663547,0.791022,0.768857,0.722172,0.5,0.727723,0.8725,0.591837,0
225,evaluation,Simple,native_pdf,pond_a,0.901362,0.825277,0.826823,0.81381,0.843284,0.727723,0.891117,0.772487,0
226,development,Simple,native_pdf,pond_a,0.979375,0.990726,0.653336,0.743385,0.977778,0.957792,0.778571,0.687861,0
