project_id,document_id,case_id,difficulty,predicted_class,reference_class,prediction_correct,component_name,raw_confidence,calibrated_probability,evidence_relevance,processing_latency,processing_cost
PF-P01,PF-D0025,PF-C00025,Complex,Insufficient,Insufficient,True,Document extraction,0.5891064333150235,0.42835647124465953,0.4628215279525457,229.65784153253114,0.004406906122501309
PF-P02,PF-D0026,PF-C00026,Moderate,Review,Review,True,Document extraction,0.9161019212479397,0.79288162854938,0.35913270040679884,186.0538332782088,0.004654852511574086
PF-P03,PF-D0027,PF-C00027,Simple,Insufficient,Insufficient,True,Document extraction,0.8540752020085183,0.6924038418131213,0.7234686597666394,135.22839009403674,0.0039575376320479675
PF-P04,PF-D0028,PF-C00028,Simple,Escalate,Escalate,True,Document extraction,0.8270850058993922,0.6950298328999985,0.48149987990685555,181.6425148830489,0.004516860573658501
PF-P05,PF-D0029,PF-C00029,Simple,Review,Insufficient,False,Document extraction,0.6042999628178904,0.5007413065763759,0.4858361970512368,171.35770280557148,0.004590421725249712
PF-P06,PF-D0030,PF-C00030,Moderate,Escalate,Escalate,True,Document extraction,0.4934919086417129,0.5906666446230503,0.6462125642924267,173.20157352787348,0.003207826959463136
PF-P01,PF-D0031,PF-C00031,Moderate,Insufficient,Clear,False,Document extraction,0.7067125413182312,0.6567165915061383,0.570082067068126,231.32057772685445,0.004320713085249115
PF-P02,PF-D0032,PF-C00032,Simple,Clear,Clear,True,Document extraction,0.9079985953983399,0.7531806427324218,0.5677813292867891,134.19247284716053,0.003676445323676375
PF-P03,PF-D0033,PF-C00033,Simple,Clear,Clear,True,Document extraction,0.9235528818593519,0.8609785056438543,0.6929111653966249,98.67821836107967,0.00406536842539897
PF-P04,PF-D0034,PF-C00034,Simple,Clear,Clear,True,Document extraction,0.85404283624982,0.7803930604810029,0.4357908877291299,160.68834740006477,0.0037098737783363193
PF-P05,PF-D0035,PF-C00035,Simple,Clear,Clear,True,Document extraction,0.794830978142616,0.7464182740098122,0.4534399989146483,169.01499799066897,0.004063103573186645
PF-P06,PF-D0036,PF-C00036,Simple,Clear,Clear,True,Document extraction,0.8853875082749871,0.7730095991406938,0.5330770170196395,138.63635054481205,0.00413657060783893
PF-P01,PF-D0037,PF-C00037,Simple,Escalate,Escalate,True,Document extraction,0.5954327228607881,0.6689759428488931,0.4349129295641182,210.50009901867713,0.004138707225762133
PF-P02,PF-D0038,PF-C00038,Simple,Review,Review,True,Document extraction,0.6836391520331306,0.6773198188843846,0.3723263884552922,205.14497228372616,0.0038695925237375354
PF-P03,PF-D0039,PF-C00039,Complex,Escalate,Escalate,True,Document extraction,0.5395526020911731,0.5252042831856446,0.4325769060631025,259.6973415836388,0.00511956577819416
PF-P04,PF-D0040,PF-C00040,Simple,Escalate,Review,False,Document extraction,0.776611596871938,0.6917392852609059,0.4822854026334086,202.04848481469116,0.004790655695107772
PF-P05,PF-D0041,PF-C00041,Simple,Insufficient,Review,False,Document extraction,0.8441521649523824,0.8538796429094617,0.8527352123133449,164.19217446004572,0.004090396562548608
PF-P06,PF-D0042,PF-C00042,Simple,Escalate,Review,False,Document extraction,0.9728848526740357,0.8641258345129669,0.755597050661028,176.92470696606605,0.003889134380009846
PF-P01,PF-D0043,PF-C00043,Simple,Insufficient,Clear,False,Document extraction,0.8126437331193107,0.7071101794277987,0.6988701439034117,184.9294272069129,0.00401717108894922
PF-P02,PF-D0044,PF-C00044,Moderate,Clear,Escalate,False,Document extraction,0.4718916715902053,0.5827748504851384,0.782564037536897,245.23552921103698,0.0038707580986630068
PF-P03,PF-D0045,PF-C00045,Complex,Escalate,Clear,False,Document extraction,0.7131664801555103,0.5556204560929723,0.4689248358686169,245.22833915953294,0.004566747319399277
PF-P04,PF-D0046,PF-C00046,Complex,Insufficient,Clear,False,Document extraction,0.575517602309606,0.4661389950015337,0.0,226.48867345717022,0.005191876710248333
PF-P05,PF-D0047,PF-C00047,Simple,Review,Clear,False,Document extraction,0.6621354211684148,0.7022253400282298,0.6906318896810508,203.39608878023807,0.003719205997321351
PF-P06,PF-D0048,PF-C00048,Simple,Clear,Clear,True,Document extraction,0.8785660537815141,0.8008115960655061,0.6602090653419395,187.48499333306546,0.00456495888308817
PF-P01,PF-D0049,PF-C00049,Simple,Review,Review,True,Document extraction,0.6705001730050546,0.7361885256031703,0.5577154510450977,228.54317800374514,0.0034162337446462425
PF-P02,PF-D0050,PF-C00050,Simple,Clear,Clear,True,Document extraction,0.806304496925732,0.7655206519615002,0.5779877377452444,204.08718366218312,0.004700347070303368
PF-P03,PF-D0051,PF-C00051,Complex,Review,Review,True,Document extraction,0.4093063571234849,0.44079686589807054,0.13091026951686668,226.25889825110852,0.0046129074798214095
PF-P04,PF-D0052,PF-C00052,Moderate,Insufficient,Insufficient,True,Document extraction,0.6840104050785383,0.5840403613730506,0.40960466164186105,208.15039139345774,0.004392146182742176
PF-P05,PF-D0053,PF-C00053,Moderate,Clear,Clear,True,Document extraction,0.5870525530021934,0.4851562363019138,0.20413090440658987,187.7259484276237,0.003969661201118221
PF-P06,PF-D0054,PF-C00054,Simple,Review,Review,True,Document extraction,0.43562834176638243,0.6804867817908166,0.6999739375144698,143.66143910474378,0.004914629561380072
PF-P01,PF-D0055,PF-C00055,Simple,Escalate,Escalate,True,Document extraction,0.6837765067605087,0.6544923648682559,0.697402345300691,171.32314169940213,0.003471024402552079
PF-P02,PF-D0056,PF-C00056,Complex,Review,Review,True,Document extraction,0.510929645181529,0.5662869022938504,0.6422494321662905,251.09892338115358,0.005019831865860186
PF-P03,PF-D0057,PF-C00057,Simple,Review,Review,True,Document extraction,0.8834357894631826,0.8240657855368675,0.5479036095381264,190.57563225182594,0.004328411460196615
PF-P04,PF-D0058,PF-C00058,Simple,Review,Clear,False,Document extraction,0.8889640707288734,0.7690795307694643,0.746061340468258,161.93513663275615,0.003956635839600915
PF-P05,PF-D0059,PF-C00059,Simple,Clear,Clear,True,Document extraction,0.8608941396281962,0.8268936611959011,0.7169604691601509,150.27027534460976,0.004484372323062005
PF-P06,PF-D0060,PF-C00060,Simple,Clear,Clear,True,Document extraction,0.8539706417947657,0.6802529299176995,0.42663185680178545,109.36264382261638,0.004186496096107243
PF-P01,PF-D0061,PF-C00061,Simple,Insufficient,Clear,False,Document extraction,0.7023479749275778,0.7536454663946555,0.5188322051351139,247.39479799537781,0.003992987451821679
PF-P02,PF-D0062,PF-C00062,Simple,Clear,Clear,True,Document extraction,0.8105893745977734,0.8422068132789925,0.8917668006961956,229.67431928067703,0.0043391732435014265
PF-P03,PF-D0063,PF-C00063,Complex,Review,Review,True,Document extraction,0.7690318530941277,0.6403182178763254,0.35401348459272497,244.20160147829975,0.004359376974884895
PF-P04,PF-D0064,PF-C00064,Simple,Clear,Clear,True,Document extraction,0.8821073670155066,0.7183939096590104,0.7963072545992441,224.7366233555965,0.0040289729956564865
PF-P05,PF-D0065,PF-C00065,Complex,Insufficient,Insufficient,True,Document extraction,0.45594832968364085,0.4720126118405946,0.658368032394329,187.42422182879835,0.005356044400245503
PF-P06,PF-D0066,PF-C00066,Simple,Escalate,Insufficient,False,Document extraction,0.6688479553286305,0.595527927836856,0.5921518989070254,193.5323521941158,0.004197312031703762
PF-P01,PF-D0067,PF-C00067,Moderate,Escalate,Escalate,True,Document extraction,0.7112021621551997,0.6520732315864659,0.49990126502694887,264.85646080073946,0.004463948773306114
PF-P02,PF-D0068,PF-C00068,Moderate,Review,Review,True,Document extraction,0.7467339903954294,0.6686818363023301,0.5552823733469585,191.91925143582628,0.003865379486618712
PF-P03,PF-D0069,PF-C00069,Moderate,Insufficient,Insufficient,True,Document extraction,0.8835580741221307,0.6839377309360093,0.5979637352105819,222.0998315389464,0.004372136568543242
PF-P04,PF-D0070,PF-C00070,Simple,Insufficient,Clear,False,Document extraction,0.8870757110172168,0.8007616281704315,0.5164661498465454,145.13326702988394,0.0038806520453804443
PF-P05,PF-D0071,PF-C00071,Complex,Clear,Clear,True,Document extraction,0.2895707087104265,0.5018408260908498,0.34046816668684793,254.83936910805483,0.005520280676962622
PF-P06,PF-D0072,PF-C00072,Simple,Clear,Clear,True,Document extraction,0.8776063610795838,0.7781107074139404,0.577082965337697,223.48935072799503,0.005040322063818339
PF-P01,PF-D0073,PF-C00073,Simple,Escalate,Clear,False,Document extraction,0.695404851817529,0.619135656125575,0.4662382497733813,179.70760531530405,0.003601530088151428
PF-P02,PF-D0074,PF-C00074,Simple,Insufficient,Insufficient,True,Document extraction,0.8420447158970606,0.7783997275786136,0.6943937240686652,221.63684938475126,0.004750196656873574
PF-P03,PF-D0075,PF-C00075,Simple,Review,Insufficient,False,Document extraction,0.8068615871971159,0.7308122909502645,0.7523008204754836,195.67398811430894,0.0038307639901958416
PF-P04,PF-D0076,PF-C00076,Simple,Review,Review,True,Document extraction,0.9030716692500811,0.8013778066668082,0.6011733939165642,182.94387704658126,0.003412789379492685
PF-P05,PF-D0077,PF-C00077,Simple,Clear,Clear,True,Document extraction,0.6833672962235283,0.7368910483045686,0.4384299344681285,177.84084384056646,0.004119685740533272
PF-P06,PF-D0078,PF-C00078,Simple,Review,Review,True,Document extraction,0.6109575661796888,0.7122127979040027,0.7010694050794476,150.80946936730055,0.0028371247260346845
PF-P01,PF-D0079,PF-C00079,Moderate,Insufficient,Insufficient,True,Document extraction,0.8562758943101674,0.7342486665163309,0.5073759936532956,222.78346408643495,0.004840920424947383
PF-P02,PF-D0080,PF-C00080,Simple,Escalate,Insufficient,False,Document extraction,0.5031523139188631,0.6620212726957879,0.5332688472349842,200.68948873408164,0.00397066886130965
PF-P03,PF-D0081,PF-C00081,Complex,Insufficient,Review,False,Document extraction,0.6739107816859431,0.5766486955685141,0.723396293866615,229.21004862624068,0.005026063032779451
PF-P04,PF-D0082,PF-C00082,Simple,Insufficient,Clear,False,Document extraction,0.6534298560445023,0.7511982650944845,0.7841445455201352,187.45144021480806,0.003875661417878106
PF-P05,PF-D0083,PF-C00083,Complex,Review,Review,True,Document extraction,0.5988796696498899,0.5313296268936799,0.3396003193150588,282.651076971109,0.00486750748200121
PF-P06,PF-D0084,PF-C00084,Simple,Clear,Clear,True,Document extraction,0.9326844878483501,0.7932670017015927,0.6755455059059517,140.3201565957993,0.00370763626452409
PF-P01,PF-D0085,PF-C00085,Simple,Clear,Clear,True,Document extraction,0.8610396444873643,0.83338404271915,0.6345767736523689,158.85275093098997,0.003908763163308223
PF-P02,PF-D0086,PF-C00086,Moderate,Clear,Clear,True,Document extraction,0.8844684898538065,0.6414212515679538,0.6573934952031772,211.25797996242076,0.004185314395214184
PF-P03,PF-D0087,PF-C00087,Complex,Clear,Clear,True,Document extraction,0.6019010199061695,0.6357705891749932,0.7418221105124517,213.90437636267126,0.005629750544774239
PF-P04,PF-D0088,PF-C00088,Simple,Clear,Clear,True,Document extraction,0.6908316469163049,0.7382053095056246,0.6021777563110343,184.46303099137018,0.003938723869695372
PF-P05,PF-D0089,PF-C00089,Moderate,Insufficient,Clear,False,Document extraction,0.6777182386946519,0.5816151502628064,0.238595608281002,168.60571113914372,0.0044114653934231125
PF-P06,PF-D0090,PF-C00090,Simple,Clear,Clear,True,Document extraction,0.6771883494729878,0.7033988759487727,0.5966250743902346,196.45235631540737,0.004287090589685407
PF-P01,PF-D0091,PF-C00091,Complex,Clear,Clear,True,Document extraction,0.6665192685935104,0.6455100419714243,0.3726829520996372,249.6893389591984,0.004701432579965475
PF-P02,PF-D0092,PF-C00092,Moderate,Review,Review,True,Document extraction,0.7422284500426405,0.7344461957463045,0.8516299233878479,256.63748901796873,0.0031888387014958964
PF-P03,PF-D0093,PF-C00093,Moderate,Clear,Clear,True,Document extraction,0.7869719373874665,0.6637456653965279,0.30885211276141517,157.23060300038256,0.004171516911604378
PF-P04,PF-D0094,PF-C00094,Simple,Clear,Clear,True,Document extraction,0.7850062336716501,0.6725125519147356,0.42599214163409127,184.26794230504376,0.004196912392791336
PF-P05,PF-D0095,PF-C00095,Moderate,Clear,Clear,True,Document extraction,0.5617948570871145,0.6107413751309685,0.3620557973941512,218.17324802615707,0.0034494394164839752
PF-P06,PF-D0096,PF-C00096,Simple,Insufficient,Insufficient,True,Document extraction,0.370845570985947,0.647991120047608,0.7114674541949452,184.28950436624783,0.0037668130606419315
PF-P01,PF-D0097,PF-C00097,Moderate,Insufficient,Review,False,Document extraction,0.4871089660074597,0.6373981609922537,0.5274818681625023,194.02610693645582,0.004261549428647935
PF-P02,PF-D0098,PF-C00098,Moderate,Insufficient,Insufficient,True,Document extraction,0.6402973251270878,0.5461030493635093,0.5760596144051201,175.35071650445892,0.00434324763499728
PF-P03,PF-D0099,PF-C00099,Moderate,Clear,Clear,True,Document extraction,0.47819230844277566,0.6675425245632637,0.5106809159512954,240.626197616809,0.003796931552903197
PF-P04,PF-D0100,PF-C00100,Complex,Escalate,Escalate,True,Document extraction,0.1412853422024893,0.31364054271940894,0.161463759832925,214.75282954220725,0.004587061918438948
PF-P05,PF-D0101,PF-C00101,Moderate,Insufficient,Clear,False,Document extraction,0.839844237095268,0.6705319890310422,0.48419365373656853,219.3790674103109,0.004132857213206694
PF-P06,PF-D0102,PF-C00102,Simple,Insufficient,Insufficient,True,Document extraction,0.7605046457397023,0.5183699488254992,0.5703405849264748,215.23530622686727,0.0031438310858606646
PF-P01,PF-D0103,PF-C00103,Simple,Insufficient,Insufficient,True,Document extraction,0.8272997311534624,0.7274141706901348,0.6804556033031266,219.02787796672186,0.0035050314366758366
PF-P02,PF-D0104,PF-C00104,Simple,Clear,Insufficient,False,Document extraction,0.7339147520241401,0.7082279535904982,0.42410234066707914,171.42687501559922,0.0037514460619630097
PF-P03,PF-D0105,PF-C00105,Simple,Insufficient,Insufficient,True,Document extraction,0.6484708011349627,0.7122682283828513,0.8995162804698565,202.38174545479723,0.0048580464473694076
PF-P04,PF-D0106,PF-C00106,Simple,Review,Review,True,Document extraction,0.8868228275576507,0.7466231454736217,0.7351271636385518,133.11115944676686,0.004515293908465337
PF-P05,PF-D0107,PF-C00107,Simple,Clear,Clear,True,Document extraction,0.5365742807530638,0.7104699552617711,0.6263158854646282,215.16470765027617,0.004458992786500003
PF-P06,PF-D0108,PF-C00108,Simple,Escalate,Insufficient,False,Document extraction,0.6507619888157816,0.4952129330844038,0.2696173886779891,137.19881560121004,0.003595705936180253
PF-P01,PF-D0109,PF-C00109,Moderate,Review,Review,True,Document extraction,0.5866431474365116,0.556619578362343,0.4920033209158294,198.86029784552446,0.0036921479949474888
PF-P02,PF-D0110,PF-C00110,Simple,Escalate,Clear,False,Document extraction,0.9102048843763596,0.7963947556822207,0.40399348042007344,189.67355481768388,0.00493649845974857
PF-P03,PF-D0111,PF-C00111,Simple,Insufficient,Clear,False,Document extraction,0.6160397716076546,0.7274376169150538,0.5575114328592631,155.17564595153925,0.0034077364906534595
PF-P04,PF-D0112,PF-C00112,Simple,Review,Review,True,Document extraction,0.6605196572137951,0.7309862747039271,0.7359527332220696,161.57758774020562,0.004380706462791522
PF-P05,PF-D0113,PF-C00113,Simple,Clear,Clear,True,Document extraction,0.953381499805479,0.7486146056006213,0.488934665542099,261.31639767511047,0.0031555681747736527
PF-P06,PF-D0114,PF-C00114,Simple,Insufficient,Review,False,Document extraction,0.6501832928695972,0.568996748846249,0.6661601302186703,218.95268972919274,0.00419310422367124
PF-P01,PF-D0115,PF-C00115,Simple,Review,Review,True,Document extraction,0.7117467540647254,0.7704971737316625,0.7985513564719144,187.09145437538552,0.0038703584859538244
PF-P02,PF-D0116,PF-C00116,Simple,Clear,Clear,True,Document extraction,0.938313755154196,0.8506804987279822,0.556768376981796,230.58511279437045,0.00383196323148311
PF-P03,PF-D0117,PF-C00117,Moderate,Review,Escalate,False,Document extraction,0.5878378875604169,0.47397879406920385,0.35191968845494886,185.26494215129196,0.003295204908236643
PF-P04,PF-D0118,PF-C00118,Moderate,Clear,Review,False,Document extraction,0.714910322413439,0.5676008055163196,0.5858549776530726,211.0034054819801,0.003839047428796729
PF-P05,PF-D0119,PF-C00119,Moderate,Insufficient,Insufficient,True,Document extraction,0.673432672953907,0.6326892707377386,0.5176532301996248,166.63899385654383,0.00435206999773023
PF-P06,PF-D0120,PF-C00120,Moderate,Escalate,Insufficient,False,Document extraction,0.3901815155220146,0.4981296798738576,0.3942283524414667,248.1690772459011,0.003883655472194957
PF-P01,PF-D0121,PF-C00121,Moderate,Clear,Clear,True,Document extraction,0.8963253121335054,0.7200638586199255,0.5770719531540307,215.65617159707858,0.004006254544553862
PF-P02,PF-D0122,PF-C00122,Moderate,Clear,Clear,True,Document extraction,0.9084997230984523,0.709518867232002,0.5330643324899347,202.75486443251424,0.004613338475667046
PF-P03,PF-D0123,PF-C00123,Simple,Review,Clear,False,Document extraction,0.8533860434544054,0.8024423014861589,0.681155953521132,107.16752777297638,0.00316205117372631
PF-P04,PF-D0124,PF-C00124,Moderate,Clear,Insufficient,False,Document extraction,0.3513513215848026,0.4816827978116153,0.2847206788512619,190.01587224236522,0.004633623974268079
PF-P05,PF-D0125,PF-C00125,Complex,Clear,Insufficient,False,Document extraction,0.4279189151449025,0.42234510470806436,0.618937724687758,246.43994983683348,0.004875283126122041
PF-P06,PF-D0126,PF-C00126,Moderate,Insufficient,Clear,False,Document extraction,0.6018346638187279,0.6389623395391196,0.37948503681702905,189.4824410556575,0.003626709690937544
PF-P01,PF-D0127,PF-C00127,Moderate,Clear,Clear,True,Document extraction,0.6398306867666106,0.6865705939170592,0.7107621103698188,240.64025110155706,0.0034172029938164244
PF-P02,PF-D0128,PF-C00128,Simple,Clear,Clear,True,Document extraction,0.8613142137056126,0.8446738056831588,0.7241700798530863,206.4550344478692,0.004493850338877727
PF-P03,PF-D0129,PF-C00129,Complex,Escalate,Clear,False,Document extraction,0.5134211706731762,0.6092985646591327,0.25398763464061924,217.578217469959,0.005555500891919647
PF-P04,PF-D0130,PF-C00130,Simple,Insufficient,Escalate,False,Document extraction,0.7834729365777175,0.7222563112895537,0.6206837394217611,175.30506515633726,0.0034697468194957353
PF-P05,PF-D0131,PF-C00131,Moderate,Clear,Clear,True,Document extraction,0.807003859306611,0.6204165003258422,0.44083025642683754,223.9217550767227,0.004192473313494188
PF-P06,PF-D0132,PF-C00132,Simple,Escalate,Escalate,True,Document extraction,0.584470853274091,0.6473549461859655,0.6941987587397773,130.6937083687401,0.004664961604503971
PF-P01,PF-D0133,PF-C00133,Moderate,Review,Review,True,Document extraction,0.4842438584660635,0.5889138096905985,0.6071966599304708,181.5996802239502,0.004316371431478623
PF-P02,PF-D0134,PF-C00134,Moderate,Clear,Clear,True,Document extraction,0.6783200449458642,0.5461078089947707,0.41814376916937956,221.10343089208584,0.004370735100658807
PF-P03,PF-D0135,PF-C00135,Complex,Insufficient,Insufficient,True,Document extraction,0.4908393918507546,0.47392097154456453,0.3793227170122152,241.50534205557537,0.004329309442785935
PF-P04,PF-D0136,PF-C00136,Moderate,Review,Review,True,Document extraction,0.6040883697581585,0.6690861099070441,0.5966355670753347,233.2506098876694,0.004226688543888712
PF-P05,PF-D0137,PF-C00137,Moderate,Review,Escalate,False,Document extraction,0.33538226083781925,0.399205958083482,0.3232386094371855,182.77413362699127,0.004573549397966097
PF-P06,PF-D0138,PF-C00138,Complex,Review,Review,True,Document extraction,0.37773941202143446,0.43352275585459227,0.13317772199927802,268.553130524096,0.00494210199150738
PF-P01,PF-D0139,PF-C00139,Simple,Review,Clear,False,Document extraction,0.8161503071613281,0.7202167255525233,0.5607067437903593,217.38453468269734,0.004198580367093509
PF-P02,PF-D0140,PF-C00140,Moderate,Insufficient,Clear,False,Document extraction,0.7366355700180409,0.7189225033682343,0.6798394434616477,209.04294473531792,0.003688252524360706
PF-P03,PF-D0141,PF-C00141,Simple,Clear,Clear,True,Document extraction,0.7561091101272793,0.5445940009395438,0.19882695474732842,199.184656091235,0.004412599080613106
PF-P04,PF-D0142,PF-C00142,Complex,Insufficient,Review,False,Document extraction,0.3540062047994119,0.6093079839464551,0.38354155348481,231.6641408749384,0.004746818084723371
PF-P05,PF-D0143,PF-C00143,Moderate,Clear,Clear,True,Document extraction,0.5650133954132273,0.7203571240271653,0.5757144070103598,184.3964083868152,0.00384278921208866
PF-P06,PF-D0144,PF-C00144,Simple,Escalate,Review,False,Document extraction,0.8691375193483808,0.6970040505442975,0.7715272108334221,182.93348303206218,0.004134077677387775
PF-P01,PF-D0145,PF-C00145,Simple,Review,Review,True,Document extraction,0.7126400684006914,0.7330078169597725,0.3952080260333304,152.13529098900278,0.0038870408278835985
PF-P02,PF-D0146,PF-C00146,Moderate,Clear,Clear,True,Document extraction,0.5238338854016761,0.6786726223259075,0.3936246449065182,189.1701924879474,0.00401556565002627
PF-P03,PF-D0147,PF-C00147,Simple,Clear,Clear,True,Document extraction,0.8121403943818033,0.7278635024979624,0.6114599179111582,197.58614504141252,0.0037061375730203863
PF-P04,PF-D0148,PF-C00148,Simple,Clear,Clear,True,Document extraction,0.96177982978432,0.8236663500830336,0.5414917505123347,219.42698158301633,0.004162217454180295
PF-P05,PF-D0149,PF-C00149,Simple,Clear,Clear,True,Document extraction,0.5167083568600487,0.6623398159766165,0.8055351272614445,165.33522031283053,0.0037273943871017528
PF-P06,PF-D0150,PF-C00150,Moderate,Review,Review,True,Document extraction,0.5134958775199736,0.5750592058510207,0.4660746271420366,202.57994605997652,0.0035511701405241455
PF-P01,PF-D0151,PF-C00151,Complex,Clear,Clear,True,Document extraction,0.557096229376969,0.6421027177375583,0.6418327184918299,243.17653057925392,0.005104236241613156
PF-P02,PF-D0152,PF-C00152,Simple,Insufficient,Clear,False,Document extraction,0.9103894493667574,0.8500370538927439,0.7620935717912909,137.23950387749667,0.00394233333179707
PF-P03,PF-D0153,PF-C00153,Simple,Clear,Clear,True,Document extraction,0.7208428253257704,0.6485315880287101,0.8331244545758181,199.34697605352937,0.0029812977168146987
PF-P04,PF-D0154,PF-C00154,Simple,Review,Review,True,Document extraction,0.9030042868759985,0.8329712138762069,0.6300501883595652,201.3380585389365,0.00457105900196516
PF-P05,PF-D0155,PF-C00155,Moderate,Review,Review,True,Document extraction,0.547404213118284,0.7016328521839826,0.49871064588138814,226.42393861249866,0.004258901154291354
PF-P06,PF-D0156,PF-C00156,Complex,Review,Review,True,Document extraction,0.6319451107362392,0.5453621301437138,0.4051207773564632,248.61746191119275,0.004107485038513334
PF-P01,PF-D0157,PF-C00157,Moderate,Insufficient,Review,False,Document extraction,0.7733480729978292,0.614404210573603,0.3539307485422211,223.75085690845785,0.004643192251893713
PF-P02,PF-D0158,PF-C00158,Complex,Review,Review,True,Document extraction,0.7323815895515754,0.6161832428492815,0.32323232957689435,228.345566441668,0.0050029778659459664
PF-P03,PF-D0159,PF-C00159,Moderate,Escalate,Clear,False,Document extraction,0.5495098936869695,0.5485452126728158,0.30013615568792396,217.63031742773768,0.003917749064881545
PF-P04,PF-D0160,PF-C00160,Simple,Insufficient,Clear,False,Document extraction,0.829413581169319,0.6694264756448925,0.2691649455638556,174.6277799482354,0.0037467401146990017
PF-P05,PF-D0161,PF-C00161,Simple,Review,Escalate,False,Document extraction,0.7818617316651743,0.7299190498675612,0.8751349931887921,190.9933913825477,0.0037193129820991397
PF-P06,PF-D0162,PF-C00162,Complex,Review,Review,True,Document extraction,0.1588857414513233,0.39994603617464203,0.30755202013243516,272.42542970833483,0.005329466270524008
PF-P01,PF-D0163,PF-C00163,Moderate,Insufficient,Insufficient,True,Document extraction,0.7002316042576363,0.7211452607365035,0.5529525929983398,270.35556796397884,0.003974475963276273
